WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Sol-Iletsk,RU,51.1631,54.9918,48.07,83,100,20.18,overcast clouds
199,Port Moresby,PG,-9.4431,147.1797,76.42,100,75,5.75,broken clouds
200,Ambositra,MG,-20.5167,47.25,64.81,80,7,8.61,clear sky
201,Hirara,JP,24.8,125.2833,72.3,81,99,14.09,overcast clouds
202,Chivay,PE,-15.6383,-71.6011,48.96,79,84,5.12,broken clouds
203,Mar Del Plata,AR,-38.0023,-57.5575,63.88,87,100,11.99,overcast clouds
204,Poum,NC,-20.2333,164.0167,79.75,82,96,12.3,overcast clouds
205,Rockhampton,AU,-23.3833,150.5,73.29,83,100,9.22,overcast clouds
206,Hay River,CA,60.8156,-115.7999,30.18,80,75,13.8,broken clouds
207,Ponta Do Sol,PT,32.6667,-17.1,68.72,66,24,5.41,few clouds
208,Salym,RU,60.0625,71.4789,21.96,90,50,2.84,scattered clouds
209,The Pas,CA,53.8251,-101.2541,33.82,75,100,23.02,overcast clouds
210,Ossora,RU,59.2353,163.0719,18.1,89,97,5.21,overcast clouds
211,Mayo,US,38.8876,-76.5119,52.34,71,0,11.01,clear sky
212,Rawson,AR,-43.3002,-65.1023,62.65,73,58,22.19,broken clouds
213,Sitka,US,57.0531,-135.33,35.49,80,100,0.0,overcast clouds
214,Muleba,TZ,-1.8397,31.6544,75.09,61,7,1.59,clear sky
215,Olga,RU,43.7444,135.2892,43.84,84,11,3.22,few clouds
216,Hasaki,JP,35.7333,140.8333,54.0,81,0,16.58,clear sky
217,Saint-Francois,FR,46.4154,3.9054,52.68,71,75,16.11,broken clouds
218,Boende,CD,-0.2167,20.8667,96.42,32,48,1.3,scattered clouds
219,Kushima,JP,31.4583,131.2333,59.76,77,0,0.34,clear sky
220,Zverinogolovskoye,RU,54.4586,64.8542,51.15,65,97,3.74,overcast clouds
221,Sangre Grande,TT,10.5835,-61.1177,86.94,62,18,10.51,few clouds
222,Ruidoso,US,33.3317,-105.673,51.51,13,0,9.22,clear sky
223,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,69,12,21.5,few clouds
224,Grindu,RO,44.7667,26.9167,74.32,34,2,17.0,clear sky
225,Goderich,CA,43.7501,-81.7165,33.91,74,100,10.36,overcast clouds
226,Bayevo,RU,53.2833,80.7667,33.53,74,7,6.2,clear sky
227,Aklavik,CA,68.2191,-135.0107,1.4,78,75,11.5,broken clouds
228,Noyabrsk,RU,63.1994,75.4507,2.53,94,35,5.3,scattered clouds
229,Clyde River,CA,70.4692,-68.5914,-5.57,84,100,2.3,overcast clouds
230,Murchison,NZ,-41.8,172.3333,47.03,99,25,0.36,scattered clouds
231,Zhengjiatun,CN,43.5064,123.5064,55.94,22,81,10.04,broken clouds
232,Suntar,RU,62.1444,117.6319,13.06,97,25,3.89,scattered clouds
233,Grindavik,IS,63.8424,-22.4338,37.87,93,75,28.77,broken clouds
234,Tilichiki,RU,60.4667,166.1,30.29,99,100,14.29,snow
235,Dickinson,US,29.4608,-95.0513,66.94,61,0,3.69,clear sky
236,Ongandjera,NA,-17.8833,15.0667,88.63,25,1,2.86,clear sky
237,Farrukhnagar,IN,17.0778,78.2011,89.31,24,99,5.44,overcast clouds
